# MILPERSMAN ARTICLE INDEX — parsed from the official Whole MILPERSMAN PDF.
# Format: ARTICLE|TITLE|COGNIZANT OFFICE
# 793 active articles.

1050-340|Mandatory (Involuntary) Appellate Leave|NAMALA
1050-350|Appellate Review|NAMALA
1050-360|Procedures for Recalling a Member from Appellate Leave|NAMALA
1050-400|Accrued Leave Creditable Upon Retirement|PERS-835
1050-410|Consecutive Overseas Tours (COT) and In-Place Consecutive Overseas|OPNAV (N130)
1050-415|Parental Leave Program|OPNAV (N130)
1050-440|Administrative Absence to Obtain a Legal Marriage|OPNAV (N130C)
1070-020|Officer Official Military Personnel File (OMPF)|PERS-313
1070-030|Creating the Officer Permanent Personnel Record|PERS-313
1070-080|Enlisted Official Military Personnel File (OMPF)|PERS-313
1070-090|Creating the Enlisted Permanent Personnel Record|PERS-313
1070-111|Submission of Navy Standard Integrated Personnel System (NSIPS) and|PERS-313
1070-150|Requests for Records Included in the Official Military Personnel File (OMPF)|PERS-313
1070-181|Officer Photographs|PERS-313
1070-230|DD 4, Enlistment/Reenlistment Document - Armed Forces of the United|NAVCRUITCOM
1070-240|NAVPERS 1070/601, Immediate Reenlistment Contract|PERS-313C
1070-250|NAVPERS 1070/621, Agreement to Extend Enlistment|PERS-313C
1070-260|NAVPERS 1070/622, Agreement to Recall or Extend Active Duty|PERS-313C
1070-270|Dependency Application|PERS-222
1070-271|Record of Emergency Data|PERS-00C
1070-300|NAVPERS 1070/606 Record of Unauthorized Absence|MNCC
1070-310|NAVPERS 1070/607 Court Memorandum|MNCC
1070-320|Administrative Remarks|PERS-313
1070-330|Record of Discharge from the Navy Reserve (Inactive)|PERS-913
1070-340|DD 214, Certificate of Release or Discharge from Active Duty|PERS-312
1070-360|NAVPERS 1070/887 Sex Offense Accountability Record|OPNAV (N172)
1080-010|NAVPERS 18068F, Manual of Navy Enlisted Manpower and|NAVMAC
1080-020|NAVPERS 15839I, Manual of Navy Officer Manpower and|NAVMAC
1100-011|First Enlistments and the Military Service Obligation|OPNAV (N131)
1100-020|Appointment in the Nurse Corps of the Navy on Active Duty|PERS-4415
1100-030|Procedures for Effecting Appointments and Delivering Original Commissions|NAVCRUITCOM
1100-050|Eligibility Requirements for Membership in the Ready Reserve|PERS-491
1100-060|Submission of Application of Voluntary Termination of Temporary|PERS-83
1131-040|Appointment of Officers in the Navy Reserve, Prior Service|PERS-911
1131-050|Medical Enlisted Commissioning Program|PERS-4415
1133-020|Navy Reserve Enlistment Programs - Policy|BUPERS-352
1133-060|Prior Service (PRISE) III Program|OPNAV (N13)
1133-061|Prior Service Re-enlistment Eligibility - Reserve (PRISE-R) Program|OPNAV (N13)
1133-062|Active Component and Full Time Support (FTS) to Selected Reserve|BUPERS-32
1133-070|Fulfillment of the 8-year Obligation|PERS-832
1133-090|New Accession Training (NAT) Program|OPNAV (N13)
1160-010|Age Limitation of Enlisted Personnel for Continuation on Active Duty|BUPERS-32
1160-020|Enlistments and Reenlistment Ceremony and Recognition Items|BUPERS-312
1160-030|Enlistments and Reenlistments Under Continuous Service Conditions|BUPERS-3
1160-031|Required Counseling Upon Enlistment and Reenlistment|BUPERS-328
1160-040|Extension of Enlistments|BUPERS-328
1160-050|Voluntary or Involuntary Extension of Enlisted Personnel Beyond|BUPERS-312
1160-060|Agreements of Enlisted Naval Reservists, Fleet Reservists, and|PERS-80C
1160-070|Reenlistment/Extension of Enlistment in the Individual Ready Reserve (IRR)|PERS-4933
1160-100|Selective Training and Reenlistment (STAR) Program|BUPERS-328
1160-120|Active Component and Training and Administration of the Reserve High Year|BUPERS-328
1160-135|High Year Tenure and Length of Service for Selected Reserve, Individual|BUPERS-352
1160-140|Career Waypoints|BUPERS-313
1200-010|Submarine Patrol Insignia Qualifications|OPNAV (N978)
1200-020|Deep Submergence Insignia Qualifications|OPNAV (N978)
1200-030|Small Craft Insignia|OPNAV (N96)
1200-040|Craftmaster Insignia|OPNAV (N96)
1200-050|Organization of the Enlisted Classification Program|OPNAV (N132G)
1200-070|Nuclear Weapons Security (NWS) Insignia|SSP (SP31)
1210-010|Naval Aviator and Flight Officer Designations|OPNAV (N13)
1210-020|Naval Astronaut Designation|OPNAV (N13)
1210-030|Flight Surgeon|OPNAV (N13)
1210-040|Flight Nurse Subspecialty Designation|OPNAV (N13)
1210-081|Medical Service Corps Flight Officer Designation|PERS-4415
1210-090|Surface Warfare Officer (SWO) Designation|OPNAV (N861C)
1210-100|Line Officer Designation: Qualified in Submarines|OPNAV (N13)
1210-110|Engineering Duty Officer Designation: Qualified in Submarines|BUPERS-31
1210-111|Engineering Duty Officer Diver|BUPERS-311
1210-120|Supply Corps Officer Designation: Qualified in Submarines|OPNAV (N13)
1210-130|Medical Officer Designation: Qualified in Submarines|OPNAV (N13)
1210-145|Diving Chief Warrant Officer (7201)|BUPERS-319
1210-150|Surface Warfare Supply Corps Officer Designation|OPNAV (N861C)
1210-160|Surface Warfare Officers (SWO) (111X) Requirements for|OPNAV (N861C)
1210-170|Command at Sea Insignia: Qualifications|OPNAV (N131)
1210-180|Command Ashore Insignia: Qualifications|OPNAV (N131)
1210-190|Active Duty Engineering Duty Officer (1440): Qualifications|PERS-445
1210-200|Inactive Duty Engineering Duty Officer (1445): Qualifications|NAVSEA (10R)
1210-210|Information Warfare Officer Qualification|OPNAV (N2)
1210-220|Naval Special Warfare (NSW) Officer - Sea-Air-Land (SEAL)|OPNAV (N13)
1210-230|Explosive Ordnance Disposal (EOD) Officer|BUPERS-31
1210-240|Flight Meteorologist Qualifications|PERS-449
1210-250|Special Evaluator/Non-Aeronautically Designated Officers|PERS-472
1210-260|Aviation Operations Officers and Non-Aeronautically Designated|OPNAV (N13)
1210-270|Officer Designation Codes|OPNAV (N13)
1210-280|Designation of Limited Duty or Chief Warrant Officer as Eligible to|OPNAV (N13)
1210-300|Surface Warfare Medical Department Officer (SWMDO)|OPNAV (N861C)
1210-310|Navy Ocean Facilities Program (OFP) Officer|PERS-4413
1210-320|Navy Expeditionary Supply Corps Officer Designation|OPNAV (N95)
1212-010|Lateral Transfer and Change of Designator Codes of Regular and|BUPERS-31
1212-020|Redesignation Procedures for Limited Duty Officers (LDOs) and|BUPERS-319
1212-030|Redesignation of Limited Duty Officers|BUPERS-3
1212-040|Engineering Duty (ED) Option Program|BUPERS-31
1212-050|Information Warfare Community (IWC) Option Program|BUPERS-317
1213-020|Suspension and Removal of Foreign Area Officer (FAO) Additional|PERS-473C
1214-010|Officer Subspecialty System|PERS-45E
1220-010|Aircrew and Aviation Rescue Swimmer Programs|BUPERS-312
1220-020|Naval Aircrew Warfare Specialist (NAWS) Designation|BUPERS-323
1220-022|U. S. Marine Corps (USMC) Combat Aircrew Insignia and Designation|HQMC (AMS)
1220-030|Parachutist Designation and Duty|OPNAV (N13)
1220-040|Submarine Qualification Designations for Enlisted Members|OPNAV (N973B)
1220-050|Enlisted Surface Warfare Specialist (ESWS) Designation|OPNAV (N861C)
1220-060|Enlisted Aviation Warfare Specialist (EAWS) Designation|OPNAV (N889H)
1220-070|Enlisted Explosive Ordnance Disposal Warfare (EWS) Specialist|OPNAV (N85)
1220-080|Enlisted Diving Warfare Specialist (DSW) Designation|OPNAV (N85)
1220-100|Navy Diver (ND) Rating|BUPERS-312-ND
1220-101|U. S. Marine Corps (USMC) Marine Combatant Diver Breast Insignia and|BUPERS-325
1220-102|Self-Contained Underwater Breathing Apparatus (SCUBA) Diver Program|BUPERS-329G
1220-200|Explosive Ordnance Disposal (EOD) Rating|BUPERS-329F
1220-280|Hazardous Duty Incentive Pay (HDIP) for Demolition Duty|OPNAV (N13)
1220-300|Special Warfare Operator (SO) Rating|BUPERS-324
1220-350|Assault Boat Coxswain Qualifications|PERS-402B
1220-360|Damage Control Scene Leader Qualifications|PERS-402A
1220-370|Enlisted Expeditionary Warfare (EXW) Specialist Designation|OPNAV (N85)
1220-400|Special Warfare Boat Operator (SB) Rating|BUPERS-324
1220-410|SEAL/EOD/SWCC/DIVER/AIRR Physical Screening Testing Standards|BUPERS-3
1221-021|Navy Enlisted Classification (NEC) Code Award and Removal Procedures|BUPERS-328
1221-030|Purpose and Scope of Navy Personnel Classification System|NAVMAC
1223-010|Enlisted Pay Grades and Titles|NAVMAC
1236-010|Armed Forces Classification Test (AFCT) Administration and Procedures for|NETC (N55)
1236-020|Post Accession Reclassification Program|OPNAV (N13)
1236-030|Safeguarding Enlisted Classification Test Material|OPNAV (N13)
1300-010|Flag Level Review Concerning Personnel Assignment|PERS-451
1300-035|Assignments Outside the Department of Defense (DoD)|PERS-441
1300-060|Administration of Naval Members Performing Duty with the Army, Air Force,|PERS-451
1300-070|Administration of Army and Air Force Members Performing Duty with the|OPNAV (N13F)
1300-081|Interservice Transfer of an Officer out of the Navy|PERS-8331
1300-082|Interservice Transfer of an Officer into the Navy|BUPERS-31
1300-090|Permanent Change of Station (PCS) Entitlement Policy - Overview|OPNAV (N13)
1300-100|Permanent Change of Station (PCS) Entitlement Policy - General and|OPNAV (N13)
1300-110|Permanent Change of Station (PCS) Entitlement Policy - Determining|OPNAV (N13)
1300-120|Permanent Change of Station (PCS) Entitlement Policy - Issuing|OPNAV (N13)
1300-130|Permanent Change of Station (PCS) Entitlement Policy - General|OPNAV (N130E)
1300-150|Command Sponsorship of Dependents at Overseas Duty|OPNAV (N130E)
1300-160|Command Sponsorship of Dependents at Overseas Duty|OPNAV (N130E)
1300-170|Command Sponsorship of Dependents at Overseas Duty|OPNAV (N130E)
1300-180|Command Sponsorship of Dependents at Overseas Duty|OPNAV (N130E)
1300-190|Command Sponsorship of Dependents at Overseas Duty|OPNAV (N130E)
1300-200|Command Sponsorship of Dependents at Overseas Duty|OPNAV (N130E)
1300-210|Command Sponsorship of Dependents at Overseas Duty|OPNAV (N130E)
1300-302|Suitability for Overseas/Remote Duty Assignment and Suitability Reporting|PERS-454
1300-306|Overseas Screening Deficiency Reports and Early Return Request|PERS-451
1300-308|Overseas Tour Lengths and Types|PERS-451
1300-310|Overseas Extensions|PERS-451
1300-312|Units Transitioning to Overseas Locations|PERS-451
1300-314|Diego Garcia Assignments|PERS-451
1300-316|Dependent Entry Approval Information|PERS-456
1300-320|Nuclear Weapons (NW) Personnel Reliability Program (PRP) Preliminary|SSP(SP31)
1300-400|Dislocation Allowance (DLA) and Secretary of the Navy Finds|PERS-451
1300-500|Reassignments for Humanitarian Reasons (HUMS)|PERS-40HH
1300-600|Twilight Tours|PERS-40
1300-700|Exceptional Family Member Program (EFMP)|PERS-456
1300-800|Transfer of Personnel to Operational Duty (Operational Screening)|PERS-40BB
1300-802|Navy Expeditionary Intelligence Command (NAVEXINTCOM)|PERS-408
1300-803|Coastal Riverine Force (CRF)|PERS-40
1300-804|Assignment to Coastal Riverine Force (CRF) Training Evaluation Unit (TEU)|PERS-40
1300-807|Navy Expeditionary Logistics Support Group (NAVELSG) Type 2 Sea Duty|PERS-40
1300-996|Assignment to Naval Criminal Investigative Service|PERS-405
1301-100|Officer Distribution - Overview|PERS-451
1301-102|Officer Distribution - Process|PERS-451
1301-104|Officer Distribution - General Tour Lengths and Rotations|OPNAV (N131)
1301-106|Officer Distribution - Time on Station|OPNAV (N131)
1301-108|Officer Distribution - Retainability|OPNAV (N131)
1301-110|Officer Distribution - Prescribed Sea Tour (PST) and Recommended|OPNAV (N131)
1301-112|Officer Distribution - Command Tour Lengths|OPNAV (N131)
1301-114|Officer Distribution - Assignment to/from Navy Personnel Command|PERS-45
1301-116|Officer Distribution - U.S. Military Academy and U.S. Air Force|OPNAV (N131)
1301-118|Officer Distribution - Major Defense Acquisition Position|OPNAV (N131)
1301-120|Officer Distribution - Joint Duty Assignment Tour Lengths (O-6 and Below)|PERS-450
1301-122|Officer Distribution - Transfer of Officers to Operational|PERS-451
1301-200|Officer Special Assignments|OPNAV (N131)
1301-201|Officer Special Assignments - Ensign Stash Assignments|OPNAV (N131)
1301-202|Officer Special Assignments - Nominative Billets/Nomination of Officers|PERS-441
1301-203|Officer Special Assignments - Aide Assignments|PERS-44ES
1301-205|Officer Special Assignments - U.S. Naval Academy|PERS-440
1301-207|Officer Special Assignments - Defense Attaché Service (DAS): Attaché|PERS-474B
1301-208|Officer Special Assignments - Navy Recruiting Command|PERS-440A
1301-209|Officer Special Assignments - Naval Reserve Officer|PERS-440A
1301-210|Officer Special Assignments - Navy Recruit Training Command|PERS-444C
1301-211|Officer Special Assignments - Navy Headquarters/Staff Level Equal|OPNAV (N134E)
1301-212|Officer Special Assignments - Navy Flight Demonstration|PERS-43
1301-213|Officer Special Assignments - Reserve Fleet Logistics Support Squadron|PERS-46
1301-214|Officer Special Assignments - Naval Leadership Instructor (Facilitator)|NLEC
1301-215|Officer Special Assignments - Brig and Transient Personnel|PERS-00D1
1301-216|Officer Special Assignments - Joint Duty Assignments (JDA)|PERS-450
1301-217|Officer Special Assignments - North Atlantic Treaty Organization (NATO)|PERS-832
1301-219|Officer Special Assignments - Limited Duty Officer (LDO) and Chief Warrant|OPNAV (N131)
1301-220|Officer Special Assignments - Engineering Duty Officer (EDO)|OPNAV (N131)
1301-221|Officer Special Assignments - Training and Administration of the Reserve|PERS-46
1301-222|Officer Special Assignments - Surface Warfare Officer (SWO)|PERS-412
1301-223|Officer Special Assignments - Nuclear Qualified Surface|OPNAV (N133)
1301-224|Officer Special Assignments - Prisoners of War (POW)|OPNAV (N131)
1301-226|Officer Special Assignments - Training Instructor Duty|NSTC (N13)
1301-227|Officer Special Assignments - Officers without Security Clearances|PERS-834
1301-228|Officer Special Assignments - Officers not in Compliance with|OPNAV (N170B)
1301-229|Officer Special Assignments - Naval Inspector General|PERS-451
1301-230|Officer Special Assignments - Reassignments of Disabled Officers|PERS-83
1301-233|Specialty Career Path Update|PERS-41
1301-234|Officer Special Assignments - Human Resources Community|PERS-4421
1301-235|Command Policies and Procedures - Specific Policies Related to Screening|PERS-445
1301-236|Officer Special Assignments – Aviation Acquisition Professional (AP)|PERS-43
1301-237|Officer Special Assignments - Information Warfare Line (IWL) Officer|PERS-47
1301-239|Public Affairs Officer (PAO) Milestone and Command Screening|PERS-448
1301-240|Officer Special Asssignment - Navy Cyber Warfare Development Group|PERS-47/445
1301-500|Consideration of Accessions, Interservice Transfers, and|OPNAV (N132D)
1301-600|Voluntary and Involuntary Recall/Mobilization of Navy's Reserve|PERS-9
1301-700|Acquisition Professional Membership (APM)|PERS-434
1301-710|Command Policies and Procedures - Active Component Chaplain Corps|PERS-4414
1301-800|Command Policies and Procedures - Overview|OPNAV (N131)
1301-802|Command Policies and Procedures - Specific Policies|OPNAV (N131)
1301-804|Officer Policies and Procedures - Command Screen|OPNAV (N131)
1301-806|Command Policies and Procedures - Command Ashore|OPNAV (N131)
1301-808|Command Policies and Procedures - Acquisition Corps (AC)|PERS-447
1301-809|Command Policies and Procedures - Foreign Area Officer (FAO)|PERS-47
1301-810|Command Policies and Procedures - Command of Major|PERS-444E
1301-812|Command Policies and Procedures - Screening for Full Time Support|PERS-46
1301-814|Command Policies and Procedures - Commanding Officer (CO)/|OPNAV (N131)
1301-815|Policies and Procedures - Active Component Medical Department Officer|PERS-4415
1301-816|Command Policies and Procedures - Navy Recruiting District|OPNAV (N131)
1301-818|Procedures for Officers not Desiring Orders to Command or|PERS-451
1301-819|Procedures for Surface Limited Duty Officers (LDO) not Desiring Orders to|PERS-414
1301-820|Command Policies and Procedures - Command - Executive|PERS-451
1301-824|Command Policies and Procedures - Major Fleet Readiness Center|OPNAV (N131)
1301-826|Command Policies and Procedures - Shore Station Senior Leadership|PERS-440
1301-900|Subspecialty Management, Graduate Education, and|PERS-45E
1301-902|Selection for Fully-Funded Graduate Education|PERS-440
1301-904|Service Colleges|PERS-440
1301-906|Navy Officer Leadership Continuum Training|PERS-452
1301-907|Naval Leader Legal Training Continuum|PERS-444
1306-100|Enlisted Distribution Management System|PERS-451
1306-101|Enlisted Assignment System|PERS-40
1306-102|Type Duty Assignment Codes|PERS-451
1306-104|Projected Rotation Date (PRD)|PERS-451
1306-106|Time on Station (TOS) and Retainability Obligated Service|PERS-451
1306-108|Enlisted Manning Inquiry Report (EMIR)|PERS-4013
1306-110|Enlisted Duty Preference|PERS-40
1306-112|NAVPERS 1306/7, Enlisted Personnel Action Request|PERS-40
1306-114|Early Return for Cause (ERFC) of Enlisted Personnel|PERS-40HH
1306-116|Prescribed Sea Tour (PST)/Normal Shore Tour (NST)|PERS-40MM
1306-118|Activity Tour upon Completion of an Overseas Department of Defense|PERS-451
1306-120|Commanding Officer Shipboard Operational Holds (OPHOLD)|PERS-4013
1306-122|Permanent Change of Station (PCS) and Permanent Change of Activity|PERS-451
1306-124|Tour Extensions and Split Tours|PERS-40
1306-125|Enlisted Record Flags|PERS-40BB
1306-126|First-Term Personnel Assignment Policy|PERS-451
1306-128|Rotation for Construction Rating Personnel|PERS-401
1306-130|Post-Confinement Assignment Procedures|PERS-40
1306-132|Reassignment of Enlisted Personnel Ashore - Completion of Tour|PERS-4013
1306-134|Assignment Policy when not in Compliance with Physical Readiness|PERS-40
1306-136|Security Limitations for Surface Nuclear Powered Ships|PERS-403
1306-141|Voluntary Sea Duty Program|PERS-4013
1306-200|Isolated Duty Tours|PERS-451
1306-300|Overseas Tour Extension Incentives Program (OTEIP)|PERS-40CC
1306-400|Submarine Duty|PERS-403
1306-402|Qualification for Assignment to Submarine Duty|PERS-403
1306-404|Request for Submarine Training and Assignment|PERS-403
1306-406|Reassignment of Qualified Submariners|PERS-403
1306-408|Performance Monitoring Team (PMT)|PERS-403
1306-410|Chief of the Boat|PERS-403
1306-412|New Construction, Overhaul (OVHL), Depot Modernization Period (DMP),|PERS-403
1306-414|Special Procedures for Assignment of SSBN Personnel|PERS-403
1306-416|Processing of Personnel Disqualified from Submarine Duty|PERS-403
1306-418|Submarine NR-1 and Deep Submergence Unit (DSU) Duty|PERS-403
1306-420|Assignment to Flag Writer Training for Submarine Qualified|PERS-403
1306-422|Assignment to Submarine Surveillance Equipment Program (SSEP) Groom|PERS-403
1306-423|Assignment to Undersea Surveillance Billets|PERS-403DH
1306-424|Physical Qualifications for Submarine Duty|PERS-403
1306-425|Assignment to - Navy Data Command Billets|COMUNDERSEASU
1306-500|Nuclear Power Training|PERS-403
1306-502|Qualifications for Assignment to Nuclear Propulsion Program|PERS-403
1306-504|Requests for Assignment to Nuclear Propulsion Training|PERS-403
1306-600|Service Schools|PERS-4010
1306-602|Class "A" and Service School Requirements|BUPERS-32
1306-604|Active Obligated Service (OBLISERV) for Service Schools|BUPERS-328
1306-611|Professional Apprenticeship Career Track (PACT) Program|BUPERS-32
1306-614|Transfer Orders, Family Member Travel, Household Goods Information, and|PERS-451
1306-616|Ineligible Students Received by Training Activity|PERS-4010S
1306-618|Class "A" School and Rating Entry Requirements|BUPERS-312
1306-700|Exchanges of Duty (Swaps)|PERS-40BB
1306-800|Special Procedures for Units Undergoing Construction, or Conversion|PERS-401
1306-802|Surface Ships Undergoing Construction And Conversion|PERS-409
1306-803|Special Procedures for Newly Established/Recommissioned Naval|PERS-401
1306-804|Newly Established or Transitioning Aircraft Squadrons|PERS-404EL
1306-900|Assignment of Enlisted Personnel to Special Programs|PERS-409
1306-901|Navy Food Management Teams (NFMTs)|PERS-402B
1306-902|Regional Maintenance Center (RMC)/Ship Repair Facility (SRF) Program|PERS-402
1306-904|Brig/Transient Personnel Unit (TPU)/ Transient Personnel Detachment (TPD)|PERS-4010E
1306-905|Command Career Counselor Program|PERS-40
1306-906|Naval Intelligence Support Center|PERS-403
1306-907|Navy Ceremonial Guard|PERS-4010F
1306-912|Seabee Construction Diver (CD) Program|BUPERS-329
1306-913|Flag Writer (NEC 791D)|PERS-441
1306-914|Military Assistance Advisory Groups (MAAGs), Military Groups,|PERS-4010G
1306-915|Professional Development Instructor (PDI)|PERS-4010D1
1306-916|Navy Drug and Alcohol Counselor and Intern|PERS-407CG
1306-917|Navy Command Climate Specialist (CCS)|PERS-4010D1
1306-918|Naval Support Unit, State Department|PERS-401
1306-919|Navy Flight Demonstration Squadron (NAVFLIGHTDEMRON) (Blue Angels)|PERS-404
1306-920|USS CONSTITUTION|PERS-4010D
1306-921|Personnel Exchange Program (PEP)|PERS-4010G
1306-924|Mobile Utilities Support Equipment (MUSE) Program|BUPERS-329
1306-925|Senior Enlisted Academies (SEA)|PERS-40
1306-926|Joint Staff Duty with Military Entrance Processing Stations (MEPS)|PERS-4010D
1306-927|Navy Harbor Pilot Program|PERS-402B
1306-928|Navy Music Program (MU)|Fleet
1306-929|Navy Manpower Analysis Center (NAVMAC)|PERS-40BB
1306-930|Historic Ship NAUTILUS (SSN 571)|PERS-403C
1306-931|Navy Absentee Collection and Information Center (NACIC)|PERS-4010F
1306-934|Nuclear Trained Personnel Assigned to Nuclear Capable|PERS-403
1306-935|Command Master Chief (CMC) Program|PERS-40FF
1306-936|Advancement Examination Developer and Military Exam Leader|PERS-40BB
1306-937|Culinary Specialist Executive Services Program|PERS-44ES
1306-939|White House Communications Agency (WHCA)|PERS-4010F
1306-940|Naval Reserve Officer Training Corps (NROTC) Training and|PERS-402SK
1306-942|USS ARIZONA (BB 39) Memorial|PERS-4010D
1306-943|Mobile Environmental Teams (METs)|PERS-404DH
1306-944|Naval Special Warfare Tactical Communications Commands (TACCOMM)|PERS-4013
1306-945|Flag Officer (Staff) Duty|PERS-40
1306-946|Navy Tugmaster Program|PERS-405
1306-947|Navy Exchange Service Command (NEXCOM)|PERS-402A
1306-948|Commander Naval Air Forces (CNAF) Aviation Maintenance Management|PERS-404
1306-949|Landing Craft, Air Cushion (LCAC)|PERS-409
1306-950|Marine Helicopter Squadron One (HMX-1) (Nighthawks)|PERS-4010F
1306-953|Instructor Duty|PERS-40BB
1306-954|Recruit Division Commander (RDC) Duty|PERS-4010
1306-955|Survival, Evasion, Resistance, and Escape (SERE) Instructor|PERS-4010E3
1306-956|Navy Reserve Instructor Duty|PERS-4012C
1306-957|Naval Nuclear Power Program Training Activities|PERS-403
1306-958|Academic Remedial Training (ART) Instruction Duty|PERS-40BB
1306-959|Afloat Training Groups (ATGS)|PERS-40
1306-960|Instructor Duty at Field Medical Service Schools (FLDMEDSERVSCOLs)|PERS-407
1306-961|Cryptologic Technician Interpretive (CTI) Language Instructor Candidates|PERS-408
1306-962|Instructor Duty at Naval School of Music|Fleet Band Activities
1306-964|Recruiting Duty|PERS-4010C
1306-965|Career Recruiter Force (CRF)|PERS-4010C
1306-966|Enlisted Rating Detailer|PERS-4010F
1306-968|Camp David (Naval Support Facility, Thurmont, MD)|PERS-4010F
1306-970|Joint Communications Support Element (JCSE)|PERS-40
1306-971|Navy Military Training Instructor Duty|PERS-4010D
1306-972|Patrol Coastal (PC) Crew|PERS-40
1306-973|Navy Provisional Guard Battalion (Cuba)|PERS-402D
1306-975|Navy Special Warfare Meteorology and Oceanography Support|PERS-404DH
1306-976|Enlisted Musician (MU) Assignments to Navy Preferentially Staffed Bands -|Fleet
1306-979|Recruitment/Assignment to Commander, Naval Special|PERS-401D
1306-980|Navy Interactive On-Net (ION) Operator Certification Program|BUPERS-327
1306-981|Navy Interactive On-Net (ION) Computer Network Exploitation (CNE) Trainer|PERS-408
1306-982|Assignment of Nuclear Trained Master Chief Petty Officers (MCPO)|PERS-403
1306-983|Medical Deep Sea Diving and Fleet Marine Force Reconnaissance|BUPERS-325
1306-984|Naval Special Warfare Command (NAVSPECWARCOM) Tactical|PERS-408
1306-985|United States Special Operations Command (USSOCOM)|PERS-4010G
1306-986|Recruitment/Assignment to Naval Special Warfare Group Ten Special|PERS-401
